gene_id	mean	log2foldchange	p_value	 10DG0934	 11DG0060	 11DG0268	 11DG0165	 11DG0840	 12DG1794	 14DG2098	 15DG2154	 15DG2530	 16DG0559	 16DG0676	 16DG0790	 16DG1353	 18DG0180	 18DG0295	 19DG0151	 13DG2283	 14DG2019	 16DG0144	 16DG0518	 16DG0932	 17DG0349	 18DG0348	 18DG0464	 18DG0603	 19DG0230	 19DG0152	 19DG1391	 19DG2599
ENSG00000232859.9	12.6279259259259	-0.302531118219322	0.194987451483626	23.0027	18.4901	10.66494	11.5865	16.9268	14.5796	10.90424	14.2463	10.97733	12.5445	10.66342	23.2232	14.0867	13.0007	17.0758	14.089	16.7581	13.4301	9.9837	10.41419	6.80935	11.8639	12.673	9.54257	13.5869	14.6795	4.80076	12.6004	13.9756
ENSG00000113722.16	1.46487246428571	0.074398526924168	0.64515249068258	1	1.581211	1.299824	1.802512	1.664101	1.548858	1.701036	1.662121	1.470562	1.573338	1.156859	1.473057	1.406204	1.492264	2.81472	1.212281	1	1.702293	1.342618	1.235037	1.100146	2.20531	1.116532	1.516462	1.49819	1.654513	1.382104	1.654223	1.564773
ENSG00000054965.10	23.4577448275862	0.263528649267818	0.201100202886368	23.1342	32.8722	32.4248	26.2978	14.1531	32.1561	26.562	29.1423	26.6284	14.0014	22.3969	24.948	17.9354	20.2132	14.4167	27.6584	21.3705	17.9027	28.2893	15.2661	16.6381	24.2389	23.1357	26.3025	20.8249	18.604	23.879	24.6298	34.2522
ENSG00000140983.13	37.3999655172414	0.0840239075325607	0.629384672766215	36.2972	27.2039	29.7324	22.6778	44.8513	40.71	23.2141	32.3051	28.9874	29.0192	34.3871	35.4498	36.7582	40.7607	33.9581	32.2836	51.233	47.9316	46.0615	43.8677	40.1419	48.8151	39.4643	35.1875	41.7171	43.3881	36.5516	39.2606	42.3831
ENSG00000278540.4	20.4856892857143	-0.00261442293716715	0.986198916781566	15.0427	17.486	24.7292	31.3318	23.3955	19.6938	27.4907	18.8662	27.4081	15.9189	19.5191	23.7609	21.6468	18.7139	18.0981	17.239	17.3014	21.6473	21.1952	15.5218	20.6909	26.4475	19.5532	19.0397	19.6071	22.2286	17.1441	22.4379	21.7757
ENSG00000154175.16	115.506608571429	4.12285148322065	0.00132066430858245	6.6156	5.56373	54.026	49.2518	21.4877	149.979	76.7803	43.2726	50.4247	11.7241	56.6894	28.2355	23.8636	76.0744	12.1736	76.9655	3.79443	92.572	63.7752	7.46334	6.86884	27.8135	30.9433	658.155	55.5793	14.5012	2022.96	113.038	51.7484
ENSG00000119314.15	16.1991342857143	0.779458195084531	0.00243222530452125	9.49667	20.6782	16.0553	17.7172	6.31932	13.5955	18.0552	10.43775	25.5984	6.1048	20.7321	10.6345	13.0708	11.563	6.76472	19.1767	14.9994	21.5297	27.5058	20.0156	12.8281	17.1326	13.297	14.7792	18.6189	16.9054	33.9136	22.174	21.3821
ENSG00000088986.10	747.093	-0.194424237069645	0.0793420528030329	741.352	721.187	848.885	608.963	821.733	727.491	658.257	768.875	753.132	811.797	636.71	790.734	927.612	800.321	997.626	668.711	716.882	671.558	770.626	755.656	996.35	690.555	749.532	526.451	861.969	934.263	705.495	712.922	569.2
ENSG00000253719.3	20.9387142857143	0.0696861730395691	0.622687643444861	19.6128	34.1079	23.6769	26.4398	15.1335	19.9423	28.7091	24.2432	25.1314	15.6674	21.0023	22.8537	19.6205	21.3945	15.5856	23.7036	22.5028	21.2091	19.8797	17.3756	15.3653	23.1803	18.7515	19.8339	20.4594	19.4327	20.0953	22.3516	23.1302
ENSG00000130066.16	52.0747862068966	0.362048800001577	0.078242387662737	64.8492	57.7975	69.5727	53.1509	62.1489	36.3912	63.682	32.3702	30.9046	37.8068	30.4658	41.3553	67.4043	62.0999	52.5758	30.3515	75.2706	50.253	58.5976	48.2081	47.4872	49.3178	47.5359	61.6495	50.3315	33.5588	62.9203	71.665	60.4469
ENSG00000113594.9	3.44766944827586	0.634857623694992	0.0143297678826515	2.02092	5.39504	5.27492	4.6437	1.965165	3.10774	5.32781	3.28422	3.95281	1.512557	3.46655	2.00443	2.32891	2.09512	1.342352	3.71724	3.0183	3.68677	4.78067	3.49493	2.46556	3.67664	2.75658	3.09638	3.2849	3.09047	5.15848	5.85215	4.1811
ENSG00000169372.12	12.3464514814815	0.126321576284269	0.388657467449517	12.9726	12.9505	8.76006	11.6858	6.53014	10.66187	12.2966	11.1422	9.00065	16.8192	12.9991	14.6466	12.6229	12.8158	18.9466	12.4669	12.4357	12.3856	12.0752	12.137	10.98848	10.97566	14.9986	11.7667	14.5399	9.18877	9.2496	14.3789	16.3933
ENSG00000129226.13	67.8825925925926	0.756154654663331	0.0861293718113842	101.151	30.5261	180.798	68.4979	19.2382	107.074	64.6919	45.6219	29.425	52.3921	28.8552	52.6924	25.0553	41.7507	41.5173	33.1046	113.294	33.7115	119.545	52.6807	84.8286	51.4038	211.832	174.983	124.788	16.503	81.7598	129.283	108.456
ENSG00000100162.14	8.52525064285714	-0.543036623055713	0.331098801141267	1.677253	1.790735	15.7436	3.52353	3.96107	11.2706	5.50776	6.51053	6.35219	6.50233	12.0614	9.34738	13.4419	13.2286	9.10568	5.07768	10.0614	11.6039	19.9547	5.40316	38.6875	13.7612	10.05862	2.58279	13.1589	8.85639	7.20727	8.08093	2.87552
ENSG00000167740.9	25.0205464285714	0.204578135371489	0.286234755668908	42.0237	28.5741	21.2874	19.4689	20.1888	27.5983	21.1569	26.8977	23.3216	26.6019	17.7252	30.1359	27.0002	27.0428	31.4351	28.5579	26.05	17.9357	22.7574	33.1032	19.8582	14.2546	27.2047	29.7369	27.2901	20.2838	15.5784	32.1282	37.4014
ENSG00000110074.10	9.90971892857143	-0.0598622873130745	0.792214734295711	5.86598	8.23468	6.23248	6.71817	9.15924	11.9781	7.40943	10.81644	7.10966	10.17566	10.78799	12.1073	11.0676	7.0453	9.84034	7.05337	13.9377	13.3592	12.6565	8.23341	16.2955	12.9995	10.11112	10.62018	12.902	12.4052	7.10726	9.71232	11.826
