gene	M_i	CV
GNL3	0.435477517618041	0.180707581102531
LSM4	0.46952250617196	0.205297812121232
GPR160	0.871650127240883	0.531133180936024
TAPBP	0.517997723459113	0.241906690222696
RNF19A	0.576549099817219	0.321168599652524
ACOT7	0.506771494575174	0.236663634601298
AKIRIN1	0.57545284003211	0.331916499563341
HCFC1R1	0.658450431379782	0.366068173807101
ODF3B	0.575384501222186	0.320211103173218
RPL26L1	0.445961830072102	0.171318205898035
MFAP1	0.482705639997042	0.249705087994005
SF3B4	0.438820337209106	0.152284799848732
HSPA1A	1.65511628392813	0.905836712336807
CD2BP2	0.434342882733014	0.175763844900314
NDUFB4	0.464503269238014	0.173661549096759
LAPTM5	0.725217118397785	0.421729699995735
HLA-DPB1	0.679278033519607	0.350871739651356
MAT2A	0.575792806302342	0.309193370129208
MRPL22	0.512788304745496	0.252854669256529
RNH1	0.484265250566133	0.195111563928326
GPBP1	0.468083901314308	0.172009102473291
CSNK2A1	0.504281241570407	0.25749994596117
ATP5G1	0.558307122662938	0.324509650936415
GTF2F1	0.43421269209435	0.168512543365919
SCPEP1	0.611718007977822	0.329198939644846
PBX2	0.420972208539568	0.160046644069593
LGALS3	0.789634285126028	0.450666771283543
NCF1	0.699318089592749	0.38982623599234
TMSB4X	0.489114633935486	0.213043718430358
UCK2	0.481872513582529	0.232347945418977
STRAP	0.60507062920935	0.308753418262463
R3HDM4	0.497786290155293	0.215359367251261
P4HB	0.522727653953293	0.252014460198838
IFI30	0.664427845016603	0.395540259009666
EZR	0.419672570301655	0.160076806945253
WDR6	0.493432601626827	0.212949419795488
STK24	0.479390843123226	0.207208835257566
MTPN	0.587753162831397	0.337557818333465
MRPL43	0.462540289394879	0.170019524594168
EPRS	0.541811132307498	0.290774613679603
IFI44	0.638906405901198	0.368400805603447
MTCH1	0.4656763068463	0.194461403177136
TM2D3	0.536655067611092	0.274470033567768
SNAP23	0.497449706931314	0.252765912928857
SLAMF7	0.627420426502683	0.334098075882968
AKT1	0.448150336288287	0.205574963546097
ACBD6	0.415955899159021	0.142054707043268
TIMM8B	0.521959849941496	0.25380100506424
RABAC1	0.586138868498537	0.318099238894599
BTG1	0.504036421526582	0.22049879892631
COPA	0.430530388132584	0.175352127385588
CALM3	0.480627184776149	0.256114164607335
OAZ1	0.653923046464174	0.321760393668203
NAMPT	0.754390574769609	0.476878861827141
ARPP19	0.581419769846872	0.372318563473485
PHF5A	0.434941345227966	0.170122714274134
MRPL53	0.51877592450462	0.253066719210804
MAP2K2	0.486687191115872	0.196588661923246
PRKCSH	0.479601596755625	0.189290128341078
UBXN6	0.522544625932612	0.235195643031003
RBX1	0.500128137516521	0.226038735464134
DLD	0.694503216757349	0.360434178022733
HNRNPF	0.444873370170446	0.215352915509808
GLO1	0.484655183925933	0.204867091493307
RPL27	0.472164074881664	0.153237627007093
HMGCS1	0.596299796481667	0.339723550396036
