gene	M_i	CV
CLTA	0.567614582245567	0.184190932793381
DCAF8	0.583503325925458	0.230614930320044
MYDGF	0.631361716941608	0.292896499454267
PDCD5	0.568904031760362	0.195620914244063
ECM1	0.865170969934175	0.40994835177445
HNRNPL	0.504394579394252	0.174129850836343
CNPPD1	0.582051389234579	0.26148386787381
FRG1	0.53973945891596	0.192062336686028
RPL26L1	0.539198908275256	0.206942897810731
ATP6V0E1	0.610170882594287	0.27706050282023
IGF2	3.27266312806258	2.43153529588976
ATP2A2	0.691322534877292	0.363835006551156
TNKS1BP1	0.617290999382303	0.260255368113225
AC138969.4	1.00956516573059	0.530411479992709
ARPC3	0.563563609196801	0.242101101106552
OAZ1	0.661195116841298	0.282585326697798
PSMD10	0.506418075428818	0.148449716538412
RBMS1	0.723925754300437	0.423358912334192
RAB10	0.820112548670528	0.416566725277079
DDRGK1	0.56518754809386	0.195119446352245
MAPKAPK2	0.502159677102967	0.134369756696466
ACKR4	2.05452627677048	1.02708869953569
EEF1D	0.542546831385237	0.156865517597617
NME1	0.603151574998432	0.264808639019968
HMOX1	0.854031561803248	0.550663150584552
NDUFAF2	0.594003368589153	0.243634901089471
NAGLU	0.618689361237888	0.237730571781601
ENO1	0.665366799647552	0.316654906234536
CTSL	0.653121398341882	0.287578070259562
SMTN	0.759500008856385	0.371544458870782
BEX4	0.627087508298203	0.229937805558579
MZT2A	0.736425708259293	0.379897882554977
TCEA2	0.581459353229969	0.210064484415278
HMGN3	0.574490214439777	0.247095727524809
ZFP36L1	0.783604599971092	0.435687246349837
OSMR	0.75175538757638	0.382184870432929
NME2	0.539953751670092	0.163250786842216
LGMN	0.670192311226638	0.356043800863083
ITGB5	0.783696285329899	0.424639837251739
HARS	0.512012834126097	0.20906402682515
FN1	0.816976366588477	0.487373061360236
SPARC	0.946902389895078	0.581903999262282
CAV2	0.724054512103015	0.582409568106101
FZD7	0.774515890896959	0.574312724720352
PRNP	0.684129651651039	0.317978174678858
VASP	0.611395821610652	0.266838555021605
MRPS23	0.547246535228452	0.177651045174501
