Gene,Control Linear Regression Slope,Control Linear Regression R2,siUPF1 Linear Regression Slope,siUPF1 Linear Regression R2,Control Log Regression Slope,Control Log Regression R2,siUPF1 Log Regression Slope,siUPF1 Log Regression R2,Category
ACVR1,-0.001947922,0.97790282,-0.001612502,0.82950256,-0.003453908,0.962897682,-0.002665913,0.837816065,siUPF1-Stab
ADAMTS4,-0.004308506,0.884791312,-0.003728243,0.950100804,-0.010975645,0.869078709,-0.008705241,0.93928866,siUPF1-Stab
ADAT3,-0.004892565,0.932150583,-0.004440834,0.947379378,-0.017843466,0.963352797,-0.013801038,0.9712592,siUPF1-Stab
ADGRL3,-0.002512549,0.906979171,-0.002132818,0.991611392,-0.004759013,0.911961071,-0.003866237,0.985435526,siUPF1-Stab
AEN,-0.002489559,0.95141751,-0.002291242,0.896110232,-0.004682162,0.943880629,-0.004126005,0.895774691,siUPF1-Stab
AKIRIN2,-0.004137335,0.984031422,-0.003921019,0.979200042,-0.010957437,0.951728068,-0.009544079,0.95206474,siUPF1-Stab
ALKBH5,-0.002450719,0.945336189,-0.002066706,0.96151223,-0.004605938,0.932419882,-0.003692527,0.962466989,siUPF1-Stab
ALX1,-0.004882219,0.941385988,-0.003463571,0.695456603,-0.015321966,0.916029126,-0.007634364,0.800355502,siUPF1-Stab
AMIGO2,-0.004546076,0.993295459,-0.003929074,0.962979634,-0.013587265,0.963861187,-0.009839928,0.940276155,siUPF1-Stab
ANKRD16,-0.00258294,0.666880572,-0.001679692,0.791661574,-0.005038442,0.735088174,-0.002881646,0.828986268,siUPF1-Stab
AP5S1,-0.002793681,0.871343855,-0.00248841,0.968972881,-0.005429614,0.870645201,-0.004778186,0.974366328,siUPF1-Stab
APCDD1,-0.003889537,0.880292633,-0.003468224,0.747825851,-0.010483325,0.921177701,-0.008698316,0.826062093,siUPF1-Stab
ARC,-0.004877597,0.923072394,-0.004038174,0.930967657,-0.01904673,0.970334963,-0.011073723,0.976292237,siUPF1-Stab
ARHGAP25,-0.004925608,0.855880647,-0.004174958,0.881923092,-0.015481914,0.894638028,-0.011192812,0.933322805,siUPF1-Stab
