GeneID,TranscriptID,Reference,Method of Identification,Cell Type,len(3utr),dEJ,#(uORF),Category
ABCC10,ENST00000244533,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,334,_,1,siUPF1-Up
ACACB,ENST00000377848,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1861,_,0,siUPF1-Up
ACACB,ENST00000338432,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1864,_,0,siUPF1-Up
ACACB,ENST00000377854,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1861,_,0,siUPF1-Up
ADAMTS17,ENST00000268070,Lykke-Andersen et al. 2014; Tani et al. 2012; Wang et al. 2011,SMG6 endonuclease substrates; siUPF1 RNA half-life; siUPF1 RNA half-life,human HEK-293; human HeLa; human U2OS,2813,_,0,siUPF1-Up
ADAMTS17,ENST00000558960,Lykke-Andersen et al. 2014; Tani et al. 2012; Wang et al. 2011,SMG6 endonuclease substrates; siUPF1 RNA half-life; siUPF1 RNA half-life,human HEK-293; human HeLa; human U2OS,258,211,0,siUPF1-Up
ADM,ENST00000534464,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,754,_,3,siUPF1-Up
ADM,ENST00000530439,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,721,_,5,siUPF1-Up
ADM,ENST00000525063,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,146,_,0,siUPF1-Up
ADM,ENST00000526492,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,58,_,0,siUPF1-Up
ADM,ENST00000528655,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,714,_,0,siUPF1-Up
ADM,ENST00000524948,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,158,_,0,siUPF1-Up
AGO4,ENST00000373210,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,4285,_,0,siUPF1-Up
ALKBH3,ENST00000532962,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,416,323,0,siUPF1-Up
ALKBH3,ENST00000302708,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,202,_,0,siUPF1-Up
ALKBH3,ENST00000534171,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,163,134,0,siUPF1-Up
AMOTL2,ENST00000514516,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1828,_,2,siUPF1-Up
AMOTL2,ENST00000513145,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,154,_,0,siUPF1-Up
AMOTL2,ENST00000422605,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1828,_,0,siUPF1-Up
ANKRD1,ENST00000371697,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,770,_,1,siUPF1-Up
AP3M2,ENST00000396926,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,2121,_,0,siUPF1-Up
AP3M2,ENST00000530375,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,297,126,0,siUPF1-Up
AP3M2,ENST00000517922,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,215,_,0,siUPF1-Up
AP3M2,ENST00000518421,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,2121,_,1,siUPF1-Up
AP3M2,ENST00000517865,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,753,400,7,siUPF1-Up
ARRDC4,ENST00000268042,Hurt et al. 2013,"siUPF1, CHX, UPF1-CLIP",mouse ES,2651,_,0,siUPF1-Up
ATF3,ENST00000366987,Gardner et al. 2008; Huang et al. 2011; Karam et al. 2015; Wang et al. 2011,siUPF1 RNA half-life; siUPF1 RNA half-life; siUPF1/siUPF3B RNA half-life; siUPF1 RNA half-life,human U2OS; human HeLa; human HeLa; human U2OS,1217,_,3,siUPF1-Up
ATF3,ENST00000341491,Gardner et al. 2008; Huang et al. 2011; Karam et al. 2015; Wang et al. 2011,siUPF1 RNA half-life; siUPF1 RNA half-life; siUPF1/siUPF3B RNA half-life; siUPF1 RNA half-life,human U2OS; human HeLa; human HeLa; human U2OS,1222,_,3,siUPF1-Up
ATG4B,ENST00000415107,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,84,71,0,siUPF1-Up
